State,State Short,Total Students,American Indian or Alaska Native,Asian,Hispanic or Latino of any race,Black or African American,White,Native Hawaiian or Other Pacific Islander,Two or more races,Students With Disabilities Served Under IDEA,Students With Disabilities Served Only Under Section 504,English Language Learners,Number of Schools,Students Per School
Alabama,AL,131381,1322,831,5381,39653,81495,91,2608,14967,1442,2235,1400,94
Alaska,AK,33659,9731,1395,2319,976,14163,1322,3753,5076,694,4476,503,67
Arizona,AZ,209505,17246,2687,99862,10522,73335,611,5242,29528,2796,12482,1977,106
Arkansas,AR,67415,508,458,6844,15730,41569,532,1774,7639,3146,3961,1092,62
California,CA,749510,8092,35089,432590,69010,171860,6096,26773,130573,14515,149505,10138,74
Colorado,CO,168651,2037,2948,74173,9843,72763,525,6362,22643,3810,18147,1868,90
Connecticut,CT,71949,226,2175,25668,13098,28798,58,1926,13983,4505,7190,1238,58
Delaware,DE,20981,86,373,3446,7588,8843,23,622,4590,724,1251,235,89
District of Columbia,DC,25371,58,173,3596,20303,950,23,268,4904,392,1627,221,115
Florida,FL,498842,1924,6838,163306,111309,197737,695,17033,98802,18560,44007,3952,126
Georgia,GA,222232,480,3798,29818,86498,93470,259,7909,38340,3640,11403,2407,92
Hawaii,HI,28199,133,4347,3842,281,3194,13211,3191,4823,728,4998,290,97
Idaho,ID,36951,857,251,7075,314,27118,139,1197,4023,1376,1668,720,51
Illinois,IL,329396,1026,8837,93693,84785,129501,333,11221,58831,12238,28918,4081,81
Indiana,IN,117379,275,1268,14363,20484,74162,87,6740,21608,2758,7173,1879,62
Iowa,IA,61813,433,979,8530,5569,43381,228,2693,11887,1564,3728,1365,45
Kansas,KS,58593,919,957,13066,6629,33458,130,3434,10216,847,6620,1356,43
Kentucky,KY,124806,158,821,6145,15290,98394,106,3892,20684,1085,2611,1407,89
Louisiana,LA,105194,934,683,6075,50114,45043,59,2286,14936,7143,2764,1367,77
Maine,ME,25359,242,259,641,784,22806,15,612,5735,1382,640,589,43
Maryland,MD,258855,846,7874,56481,124231,60780,400,8243,37774,8294,11289,1434,181
Massachusetts,MA,127117,418,4504,37176,14241,65637,132,5009,32072,7333,15005,1873,68
Michigan,MI,303949,2573,6955,26532,97907,157686,242,12054,48411,4507,17446,3616,84
Minnesota,MN,120219,5677,5283,13407,19010,70659,85,6098,25242,2520,9067,2170,55
Mississippi,MS,84159,279,460,2362,36190,44180,33,655,10398,371,1175,978,86
Missouri,MO,105980,549,1161,7099,25342,67458,370,4001,18018,2658,3858,2372,45
Montana,MT,27657,6442,121,1188,246,18828,68,764,3349,564,1053,825,34
Nebraska,NE,35445,1217,605,9141,4787,17936,75,1684,6986,553,2190,1064,33
Nevada,NV,93595,1187,2316,41027,13574,28227,1457,5807,15157,2127,13962,658,142
New Hampshire,NH,25609,94,543,2500,644,21173,12,643,5287,1796,990,483,53
New Jersey,NJ,169410,197,9016,50870,38425,67631,246,3025,35517,3946,7164,2577,66
New Mexico,NM,58631,5549,316,37891,1479,11976,88,1332,10064,546,9242,880,67
New York,NY,578711,5043,28880,198339,143423,189895,1439,11692,135471,11391,56004,4916,118
North Carolina,NC,224049,5123,3230,34307,64074,106853,293,10169,39141,4310,11357,2618,86
North Dakota,ND,10123,2279,162,697,655,6175,39,116,1660,287,490,481,21
Ohio,OH,330161,533,3375,19306,80262,208509,222,17954,65516,8779,8056,3631,91
Oklahoma,OK,80430,13525,542,13096,9539,36752,348,6628,14471,1253,6034,1815,44
Oregon,OR,132524,2823,2196,30694,3922,83426,1188,8275,22290,3253,9781,1283,103
Pennsylvania,PA,289282,497,5110,43058,71141,158211,176,11089,62575,6089,10262,3027,96
Rhode Island,RI,29393,283,732,10453,2761,13851,40,1273,5977,977,3133,308,95
South Carolina,SC,85202,435,495,5341,30251,45333,96,3251,14332,1984,3279,1236,69
South Dakota,SD,16105,4584,176,1278,561,8775,11,720,2554,478,363,688,23
Tennessee,TN,136034,282,1084,9542,28839,93441,108,2738,20984,2068,4249,1818,75
Texas,TX,638815,2565,8475,351583,91487,170591,862,13252,86255,42427,83656,8616,74
Utah,UT,112641,1652,1141,21838,1708,80477,2614,3211,15187,1375,8566,1009,112
Vermont,VT,8887,69,149,170,200,8083,7,209,1474,679,146,306,29
Virginia,VA,174872,610,7589,27826,43742,85922,247,8936,31751,3798,15754,1971,89
Washington,WA,292728,6896,12238,71503,14485,160702,4384,22520,50529,11574,31141,2305,127
West Virginia,WV,54757,46,125,695,2495,50067,11,1318,9739,914,241,720,76
Wisconsin,WI,141486,3509,3437,21315,31445,76411,114,5255,29612,1637,7742,2232,63
Wyoming,WY,14614,1283,72,2437,177,10225,20,400,2392,199,445,365,40